Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Mako DSP.PrjPCB|ReportField=ProjectFullPath~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP.PrjPCB|ReportField=Title~Bill of Materials For Project [Mako DSP.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~213|ReportField=ReportTime~11:37:01 PM|ReportField=ReportDate~3/9/2014|ReportField=ReportDateTime~3/9/2014 11:37:01 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/9/2014|ReportField=CurrentTime~11:36:50 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP Arduio IO R2.0.SchDoc|ReportField=DocumentName~Mako DSP Arduio IO R2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/9/2014|ReportField=Organization~|ReportField=ProjectName~Mako DSP.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Mako DSP.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Adam\Documents\GitHub\makodsp\Hardware\PCB\Mako DSP.PrjPCB
Center-positive 2.1 mm power jack|Power jack|1|PJ-102AH|PWR2.5|1
Arduino Leonardo Analog||Analog Input1|Arduino Leonardo Analog|Arduino Leonardo Analog|1
Header 5X2|Header, 5-Pin, Dual row|Aux GPIO 0, Aux GPIO 1|HDR2X5|Header 5X2|2
Cap Semi|Capacitor (Semiconductor SIM Model)|C1, C2, C3, C4, C5, C6, C24, C25|0402|Cap Semi|8
Cap Semi|Capacitor (Semiconductor SIM Model)|C7, C53, C59, C60, C72, C73, C74|C1206|Cap Semi|7
Cap Semi|Capacitor (Semiconductor SIM Model)|C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C26, C30, C31, C33, C34, C35, C36, C65, C68|1608[0603]|Cap Semi|21
Cap Semi|Capacitor (Semiconductor SIM Model)|C20, C22, C69, C76|Panasonic VS B|Cap Semi|4
Cap Semi|Capacitor (Semiconductor SIM Model)|C21, C23|SM 0805 - gap trimmed|Cap Semi|2
Cap Semi|Capacitor (Semiconductor SIM Model)|C27, C28, C29, C32|CAPC1608L|Cap Semi|4
0402|Capacitor (Semiconductor SIM Model)|C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C80, C80, C81, C81, C82, C82, C83, C83, C84, C85, C86|0402|Cap Semi|24
1206|Capacitor (Semiconductor SIM Model)|C50, C55|C1206|Cap Semi|2
Cap Pol1|Polarized Capacitor (Radial)|C51, C52|CAPPR2.5-6.3x5|Cap Pol1|2
0603|Capacitor (Semiconductor SIM Model)|C54, C62, C63, C70, C75, C77, C78, C79|1608[0603]|Cap Semi|8
1206 Tantulum|Capacitor (Semiconductor SIM Model)|C56, C57, C67|C1206|Cap Semi|3
VS C|Capacitor (Semiconductor SIM Model)|C58, C61, C66|Panasonic VS C|Cap Semi|3
